ID	precursor number	monoisotopic m/z	charge	peak alpha	elution profile
297	215	413.264	1	52933.3041099	5776:19986.72,5795:27805.13,5814:27211.77,5833:24277.1
298	216	609.20615	1	15630.5261065	5776:4803.747,5795:4769.793,5814:821.0641
299	217	651.14275	1	21176.4729307	5738:9168.98,5757:9904.02,5776:10900.16,5795:7848.391,5814:6441.514
300	217	651.14275	1	14673.1618588	5814:6441.514,5833:7579.71,5852:0.0
301	218	670.17195	1	23543.0057038	5548:0.0,5567:7087.768,5586:4966.529
302	218	670.17195	1	19010.0331447	5738:3332.953,5757:4807.123,5776:7864.877,5795:1769.028,5814:1762.092
303	218	670.17195	1	15636.3076064	5681:388.4773,5700:5394.411,5719:3609.753,5738:3332.953
304	219	440.71915	2	13782.1831501	5776:8412.65,5795:6305.992,5814:8265.699,5833:4789.821
305	220	430.88735	1	62648.7767842	5814:22765.16,5833:25091.82,5852:47017.53,5871:0.0
306	220	430.88735	1	49426.1093476	5719:34904.23,5738:42043.18,5757:51282.39,5776:47013.61,5795:46304.87,5814:22765.16
307	222	607.20915	1	22299.6865859	5814:7202.723,5833:10987.41,5852:11517.9
308	223	760.149	1	115403.880737	5662:0.0,5681:47514.47,5700:35257.64
309	223	760.149	1	97616.297369	5814:25059.82,5833:38638.81,5852:16778.73
310	224	384.19275	3	11187.2183541	5662:0.0,5681:4551.278,5700:0.0
311	224	384.19275	3	2906.64836169	5833:0.0,5852:1474.571,5871:0.0
312	224	384.19275	3	1277.74765874	5282:0.0,5301:881.9677,5320:0.0
313	224	384.19275	3	1254.30945105	5339:0.0,5358:721.3201,5377:0.0
314	224	384.19275	3	1.73665146974e-06	5776:0.0,5795:0.0,5814:721.403
315	224	384.19275	3	5.18587578213e-07	5605:0.0,5624:0.0,5643:0.0
316	224	384.19275	3	2.73737422063e-07	5719:0.0,5738:0.0,5757:0.0
317	226	367.1328	1	9751.64428777	5814:4233.203,5833:2642.945,5852:2388.221
318	227	403.22965	1	26786.3560822	5852:6559.067,5871:10186.43,5890:0.0
319	228	698.1967	1	22482.6437121	5814:11882.56,5833:12449.75,5852:12166.55,5871:11258.63
320	229	467.8369	3	14522.6169014	5833:3303.678,5852:5433.677,5871:3951.305
321	230	868.655	3	29.5953971683	5814:24303.79,5833:21460.82,5852:23592.94,5871:0.01193553
322	231	467.8369	4	4083.28154925	5833:488.8174,5852:830.6568,5871:588.0327
323	232	868.655	4	104635.259604	5833:37780.82,5852:53826.8,5871:69097.45
324	233	415.03555	1	32190.6245852	5852:9877.359,5871:10452.14,5890:16480.52,5909:0.0
325	233	415.03555	1	25559.011932	5681:8925.848,5700:10484.28,5719:11458.97,5738:14266.34,5757:12816.37,5776:13882.99,5795:12326.9,5814:11597.75,5833:10246.32,5852:9877.359
326	233	415.03555	1	24796.0936123	5624:8478.102,5643:9349.551,5662:12309.64,5681:8925.848
327	234	424.0783	1	41404.3158003	5814:14460.27,5833:14813.31,5852:21456.24,5871:13191.8,5890:11365.99
328	235	642.9469	3	18572.0405819	5795:9506.399,5814:9100.812,5833:5851.363
329	236	402.2013	1	12486.3267806	5871:4652.609,5890:5271.421,5909:6340.948,5928:0.0
330	236	402.2013	1	10698.2107	5757:0.0,5776:5717.907,5795:5768.995,5814:3982.918
331	237	489.04925	4	99725.1856167	5586:0.0,5605:36684.93,5624:7136.983
332	237	489.04925	4	32078.3227107	5776:15071.23,5795:16493.92,5814:16895.02,5833:4318.738
333	237	489.04925	4	31224.5832	5624:7136.983,5643:10225.08,5662:10262.87,5681:10869.06,5700:15958.74,5719:11065.22
