mzbin,feature,cluster,scan
611.18435,122,23,2
612.1802,122,23,2
613.1802,122,23,2
614.1802,122,23,2
611.18435,123,23,2
612.1802,123,23,2
613.1802,123,23,2
614.1802,123,23,2
612.1802,124,23,2
613.1802,124,23,2
614.1802,124,23,2
613.1802,125,23,2
614.1802,125,23,2
624.2403,126,24,2
625.2403,126,24,2
626.2403,126,24,2
625.2403,127,24,2
626.2403,127,24,2
642.95135,128,25,2
643.2430166665,128,25,2
642.95135,129,25,2
643.2430166665,129,25,2
651.1472,130,26,2
652.1474,130,26,2
653.14475,130,26,2
652.1474,131,26,2
653.14475,131,26,2
667.17345,132,27,2
668.17375,132,27,2
669.17375,132,27,2
670.17375,132,27,2
671.17375,132,27,2
668.17375,133,27,2
669.17375,133,27,2
670.17375,133,27,2
671.17375,133,27,2
669.17375,134,27,2
670.17375,134,27,2
671.17375,134,27,2
670.17375,135,27,2
671.17375,135,27,2
681.22345,136,28,2
682.22345,136,28,2
684.2029,136,28,2
685.2029,136,28,2
684.2029,137,28,2
685.2029,137,28,2
686.20365,137,28,2
687.20365,137,28,2
688.20365,137,28,2
685.2029,138,28,2
686.20365,138,28,2
687.20365,138,28,2
688.20365,138,28,2
686.20365,139,28,2
687.20365,139,28,2
688.20365,139,28,2
687.20365,140,28,2
688.20365,140,28,2
698.25615,141,29,2
699.25615,141,29,2
741.1914,142,30,2
742.1914,142,30,2
743.1914,142,30,2
744.1914,142,30,2
745.1914,142,30,2
742.1914,143,30,2
743.1914,143,30,2
744.1914,143,30,2
745.1914,143,30,2
743.1914,144,30,2
744.1914,144,30,2
745.1914,144,30,2
744.1914,145,30,2
745.1914,145,30,2
758.21735,146,31,2
759.21735,146,31,2
760.21735,146,31,2
761.21735,146,31,2
762.21735,146,31,2
759.21735,147,31,2
760.21735,147,31,2
761.21735,147,31,2
762.21735,147,31,2
760.21735,148,31,2
761.21735,148,31,2
762.21735,148,31,2
761.21735,149,31,2
762.21735,149,31,2
815.2146,150,32,2
816.215,150,32,2
817.215,150,32,2
818.215,150,32,2
816.215,151,32,2
817.215,151,32,2
818.215,151,32,2
817.215,152,32,2
818.215,152,32,2
832.24105,153,33,2
833.2443,153,33,2
834.2443,153,33,2
833.2443,154,33,2
834.2443,154,33,2
837.5999666665,154,33,2
836.8423,155,33,2
837.5999666665,155,33,2
836.8423,156,33,2
